ticket_id,created_at,first_response_at,resolved_at,customer_id,agent_id,category,priority,channel,satisfaction_score,region
T0027,2026-01-09 23:00:00,2026-01-10 09:00:00,2026-01-10 17:00:00,C1058,A05,Delivery,High,Chat,5,East
T0028,2026-01-10 06:00:00,2026-01-10 10:00:00,2026-01-11 22:00:00,C1087,A08,Account,Low,Phone,2,West
T0029,2026-01-10 13:00:00,2026-01-10 16:00:00,2026-01-12 04:00:00,C1051,A06,Account,High,Chat,4,West
T0030,2026-01-10 20:00:00,2026-01-10 22:00:00,2026-01-11 22:00:00,C1001,A02,Account,Low,Email,5,East
T0031,2026-01-11 03:00:00,2026-01-11 09:00:00,2026-01-11 13:00:00,C1046,A04,Technical,Low,Email,2,East
T0032,2026-01-11 10:00:00,2026-01-11 14:00:00,2026-01-11 18:00:00,C1140,A07,Billing,High,Email,4,East
T0033,2026-01-11 17:00:00,2026-01-11 23:00:00,2026-01-12 03:00:00,C1048,A04,Account,Low,Phone,2,East
T0034,2026-01-12 00:00:00,2026-01-12 08:00:00,2026-01-12 10:00:00,C1154,A03,Technical,High,Phone,4,West
T0035,2026-01-12 07:00:00,2026-01-12 15:00:00,2026-01-14 03:00:00,C1005,A06,Billing,Medium,Phone,4,South
T0036,2026-01-12 14:00:00,2026-01-12 22:00:00,2026-01-14 10:00:00,C1078,A07,Delivery,Low,Email,5,South
T0037,2026-01-12 21:00:00,2026-01-13 02:00:00,2026-01-13 14:00:00,C1050,A04,Billing,Low,Email,3,West
T0038,2026-01-13 04:00:00,2026-01-13 06:00:00,2026-01-13 10:00:00,C1153,A99,Account,Medium,Email,5,South
T0039,2026-01-13 11:00:00,2026-01-13 16:00:00,2026-01-14 00:00:00,C1046,A08,Account,High,Phone,5,North
T0040,2026-01-13 18:00:00,2026-01-13 19:00:00,2026-01-14 03:00:00,C1147,A02,Technical,High,Chat,5,South
T0041,2026-01-14 01:00:00,2026-01-14 02:00:00,2026-01-15 14:00:00,C1159,A07,Billing,Low,Chat,3,West
T0042,2026-01-14 08:00:00,2026-01-14 18:00:00,2026-01-16 06:00:00,C1053,A03,Technical,Medium,Chat,5,East
T0043,2026-01-14 15:00:00,2026-01-14 23:00:00,2026-01-15 23:00:00,C1092,A08,Technical,Low,Chat,4,North
T0044,2026-01-14 22:00:00,2026-01-14 23:00:00,2026-01-15 23:00:00,C1033,A05,Account,High,Chat,4,South
T0045,2026-01-15 05:00:00,2026-01-15 10:00:00,2026-01-16 22:00:00,C1031,A03,Delivery,Low,Chat,3,West
T0046,bad-date,2026-01-15 15:00:00,2026-01-15 19:00:00,C1075,A03,Account,High,Phone,5,South
T0047,2026-01-15 19:00:00,2026-01-15 23:00:00,2026-01-16 03:00:00,C1137,A08,Account,High,Phone,3,East
T0048,2026-01-16 02:00:00,2026-01-16 05:00:00,2026-01-16 07:00:00,C1160,A08,Account,Low,Phone,2,East
T0049,2026-01-16 09:00:00,2026-01-16 10:00:00,2026-01-17 10:00:00,C1014,A08,Technical,Low,Phone,2,East
T0050,2026-01-16 16:00:00,2026-01-16 22:00:00,2026-01-17 00:00:00,C1082,A08,Technical,Low,Email,2,South
T0051,2026-01-16 23:00:00,2026-01-17 07:00:00,2026-01-18 19:00:00,C1002,A06,Account,High,Email,5,West
T0052,2026-01-17 06:00:00,2026-01-17 10:00:00,2026-01-17 22:00:00,C1082,A07,Billing,Low,Email,4,East
T0053,2026-01-17 13:00:00,2026-01-17 15:00:00,2026-01-17 19:00:00,C1049,A07,Delivery,Medium,Phone,4,West
T0054,2026-01-17 20:00:00,2026-01-18 04:00:00,2026-01-18 08:00:00,C1089,A06,Account,Medium,Phone,2,South
T0055,2026-01-18 03:00:00,2026-01-18 06:00:00,2026-01-18 08:00:00,C1056,A04,Account,Low,Email,4,East
T0056,2026-01-18 10:00:00,2026-01-18 12:00:00,2026-01-18 16:00:00,C1043,A02,Billing,High,Chat,2,West
T0057,2026-01-18 17:00:00,2026-01-18 20:00:00,2026-01-19 00:00:00,C1126,A04,Account,High,Email,3,North
T0058,2026-01-19 00:00:00,2026-01-19 06:00:00,2026-01-19 14:00:00,C1117,A07,Account,High,Phone,5,East
T0059,2026-01-19 07:00:00,2026-01-19 09:00:00,2026-01-19 17:00:00,C1089,A05,Account,Low,Email,2,South
T0060,2026-01-19 14:00:00,2026-01-19 18:00:00,2026-01-20 02:00:00,C1141,A05,Delivery,High,Email,3,East
T0061,2026-01-19 21:00:00,2026-01-20 07:00:00,2026-01-20 09:00:00,C1045,A03,Account,Low,Phone,4,East
T0062,2026-01-20 04:00:00,2026-01-20 10:00:00,2026-01-20 22:00:00,C1042,A06,Technical,Medium,Email,3,East
T0063,2026-01-20 11:00:00,2026-01-20 13:00:00,2026-01-21 13:00:00,C1021,A05,Technical,High,Chat,4,West
T0064,2026-01-20 18:00:00,2026-01-21 02:00:00,2026-01-21 04:00:00,C1149,A07,Technical,High,Phone,,North
T0065,2026-01-21 01:00:00,2026-01-21 04:00:00,2026-01-21 06:00:00,C1130,A01,Technical,High,Email,2,South
T0066,2026-01-21 08:00:00,2026-01-21 18:00:00,2026-01-22 02:00:00,C1038,A01,Delivery,Medium,Phone,5,South
T0067,2026-01-21 15:00:00,2026-01-21 19:00:00,2026-01-21 21:00:00,C1005,A04,Billing,Low,Chat,4,North
T0068,2026-01-21 22:00:00,2026-01-22 01:00:00,2026-01-22 05:00:00,C1062,A03,Billing,Low,Chat,5,South
T0069,2026-01-22 05:00:00,2026-01-22 06:00:00,2026-01-23 06:00:00,C1112,A05,Account,Medium,Chat,3,North
T0070,2026-01-22 12:00:00,2026-01-22 18:00:00,2026-01-23 18:00:00,C1046,A05,Technical,Medium,Chat,2,South
T0071,2026-01-22 19:00:00,2026-01-23 05:00:00,2026-01-24 17:00:00,C1056,A04,Billing,High,Chat,2,South
T0072,2026-01-23 02:00:00,2026-01-23 05:00:00,2026-01-23 09:00:00,C1129,A06,Technical,High,Email,3,South
T0073,2026-01-23 09:00:00,2026-01-23 13:00:00,2026-01-24 13:00:00,C1081,A07,Technical,Low,Chat,4,South
T0074,2026-01-23 16:00:00,2026-01-23 20:00:00,2026-01-25 08:00:00,C1021,A08,Technical,Medium,Chat,4,East
T0075,2026-01-23 23:00:00,2025-12-01 00:00:00,2026-01-25 00:00:00,C1016,A08,Delivery,Low,Phone,5,North
T0076,2026-01-24 06:00:00,2026-01-24 16:00:00,2026-01-26 04:00:00,C1008,A05,Billing,High,Phone,4,South
T0077,2026-01-24 13:00:00,2026-01-24 14:00:00,2026-01-24 22:00:00,C1100,A05,Delivery,High,Phone,5,North
T0078,2026-01-24 20:00:00,2026-01-25 02:00:00,2026-01-25 04:00:00,C1150,A07,Account,Low,Phone,5,South
T0079,2026-01-25 03:00:00,2026-01-25 13:00:00,2026-01-26 01:00:00,C1069,A03,Billing,Low,Chat,2,West
T0080,2026-01-25 10:00:00,2026-01-25 20:00:00,2026-01-26 04:00:00,C1118,A05,Account,High,Chat,4,West
T0081,2026-01-25 17:00:00,2026-01-25 20:00:00,2026-01-26 08:00:00,C1121,A05,Delivery,Medium,Phone,4,South
T0082,2026-01-26 00:00:00,2026-01-26 04:00:00,2026-01-26 12:00:00,C1135,A01,Account,Low,Email,2,South
T0083,2026-01-26 07:00:00,2026-01-26 15:00:00,2026-01-26 17:00:00,C1145,A07,Account,Low,Phone,4,South
T0084,2026-01-26 14:00:00,2026-01-26 16:00:00,2026-01-28 04:00:00,C1106,A01,Delivery,Medium,Phone,2,South
T0085,2026-01-26 21:00:00,2026-01-26 22:00:00,2026-01-28 10:00:00,C1055,A06,Billing,High,Phone,2,South
T0086,2026-01-27 04:00:00,2026-01-27 05:00:00,2026-01-27 13:00:00,C1158,A08,Technical,Low,Chat,4,West
T0087,2026-01-27 11:00:00,2026-01-27 13:00:00,2026-01-28 01:00:00,C1105,A05,Delivery,Medium,Phone,4,North
T0088,2026-01-27 18:00:00,2026-01-27 22:00:00,2026-01-28 02:00:00,C1063,A08,Delivery,Medium,Chat,3,East
T0089,2026-01-28 01:00:00,2026-01-28 07:00:00,2026-01-28 11:00:00,C1022,A02,Billing,High,Phone,2,West
T0090,2026-01-28 08:00:00,2026-01-28 13:00:00,2026-01-29 13:00:00,C1129,A05,Account,High,Chat,3,South
