delivery_id,shipped_at,promised_at,delivered_at,partner_id,region,mode,distance_km,delivery_cost,order_value,status
D0067,2026-02-28 20:00:00,2026-03-03 08:00:00,2026-03-03 08:00:00,P03,North,Road,253,5380,67941,Delivered
D0068,2026-03-01 06:00:00,2026-03-03 06:00:00,2026-03-03 08:00:00,P06,North,Air,136,-300,36088,Delivered
D0069,2026-03-01 16:00:00,2026-03-03 16:00:00,2026-03-03 16:00:00,P01,North,Road,811,1261,48887,Delivered
D0070,2026-03-02 02:00:00,2026-03-04 14:00:00,2026-03-04 14:00:00,P03,East,Express,671,7814,51744,Delivered
D0071,2026-03-02 12:00:00,2026-03-04 00:00:00,2026-03-05 00:00:00,P06,South,Road,501,3370,27540,Delivered
D0072,2026-03-02 22:00:00,2026-03-05 10:00:00,2026-03-06 10:00:00,P01,North,Road,1307,6618,2651,Delivered
D0073,2026-03-03 08:00:00,2026-03-05 20:00:00,2026-03-05 16:00:00,P04,East,Road,735,2329,29918,Delivered
D0074,2026-03-03 18:00:00,2026-03-04 18:00:00,2026-03-04 14:00:00,P05,West,Express,112,4904,2025,Delivered
D0075,2026-03-04 04:00:00,2026-03-05 16:00:00,2026-03-05 22:00:00,P05,East,Road,1214,1843,18570,Delivered
D0076,2026-03-04 14:00:00,2026-03-07 02:00:00,2026-03-07 14:00:00,P02,South,Road,803,8585,34034,Delivered
D0077,2026-03-05 00:00:00,2026-03-06 12:00:00,2026-03-06 08:00:00,P05,East,Express,301,4627,79808,Delivered
D0078,2026-03-05 10:00:00,2026-03-07 22:00:00,2026-03-07 18:00:00,P01,North,Air,691,1100,8909,Delivered
D0079,2026-03-05 20:00:00,2026-03-08 08:00:00,2026-03-08 20:00:00,P05,West,Express,261,5261,37323,Delivered
D0080,2026-03-06 06:00:00,2026-03-08 06:00:00,2026-03-08 08:00:00,P05,South,Road,1256,1147,67376,Delivered
D0081,2026-03-06 16:00:00,,2026-03-09 04:00:00,P05,West,Express,397,1907,35819,Delivered
D0082,2026-03-07 02:00:00,2026-03-08 02:00:00,2026-03-08 04:00:00,P02,North,Express,1277,8916,70143,Delivered
D0083,2026-03-07 12:00:00,2026-03-08 12:00:00,2026-03-09 00:00:00,P03,South,Road,362,4715,57953,Delivered
D0084,2026-03-07 22:00:00,2026-03-09 22:00:00,2026-03-09 22:00:00,P02,South,Road,1377,1202,71349,Delivered
D0085,2026-03-08 08:00:00,2026-03-09 08:00:00,2026-03-09 10:00:00,P06,West,Express,767,5566,27458,Delivered
D0086,2026-03-08 18:00:00,2026-03-11 06:00:00,2026-03-12 06:00:00,P06,South,Road,627,2324,5903,Delivered
D0087,2026-03-09 04:00:00,2026-03-11 16:00:00,2026-03-12 16:00:00,P02,West,Road,632,2775,71505,Delivered
D0088,2026-03-09 14:00:00,2026-03-11 14:00:00,2026-03-11 10:00:00,P05,West,Air,274,5919,63662,Delivered
